번호,회사명,상장여부,고유코드,시장코드,감리대상연도,조치일,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
118,에코바이오홀딩스(주),코스닥시장,00287812,038870,2015~2017,2019-12-11,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
122,유안타증권,유가증권시장,00117601,003470,2010.3.31~2013.6.30.,2016-07-13,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,
123,유진기업(주),코스닥시장,00184667,023410,2014~2016.9.30.,2018-11-28,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
124,이니텍㈜,코스닥시장,00353610,053350,2015~2016,2020-04-22,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
125,이엘케이(주),코스닥시장,00379016,094190,2015~2016.9.30.,2018-09-19,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
129,제이더블유중외제약(주),유가증권시장,00149947,001060,2014~2016,2019-01-23,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
130,조선내화,유가증권시장,00148984,000480,2012~2013,2017-05-24,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,
132,㈜에이치비테크놀러지,코스닥시장,00255275,078150,2008~2011,2020-05-06,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,
135,㈜이수화학,유가증권시장,00145552,005950,2011~2017,2020-04-22,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
137,"글로스퍼랜스(구, 지엠알머티리얼즈)",코스닥시장,00205687,032860,2011년~2017.반기말,2017-11-01,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
138,참엔지니어링(주),유가증권시장,00153621,009310,2009~2014,2018-12-12,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,
139,코스모신소재(주),유가증권시장,00129989,005070,2012~2014년,2016-03-09,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,
140,코스모화학(주),유가증권시장,00160302,005420,2010~2017,2019-02-27,0,0,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
141,"대한그린파워(구, 퍼시픽바이오㈜)",코스닥시장,00367695,060900,2011~2016.9.30.,2017-04-12,0,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
143,한국전력기술(주),유가증권시장,00159209,052690,2015~2017,2020-01-22,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
144,한국전파기지국(주),코스닥시장,00250137,065530,2011~2017반기,2018-04-11,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
146,한솔아트원제지,유가증권시장,00137702,007190,2009.12.31.~2014.3.31.,2016-09-28,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,
147,한솔홀딩스(주),유가증권시장,00171636,004150,2010년~2013년,2017-07-19,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,
148,한신공영(주),유가증권시장,00162063,004960,2009~2013,2016-11-09,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,
151,현대건설(주),유가증권시장,00164478,000720,"2013, 2014.3분기, 2014~2016",2017-11-15,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,
152,휴림로봇(주),코스닥시장,00540429,090710,2015반기~3분기 및 2017~2018 1분기,2020-01-08,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
153,㈜지와이커머스,코스닥시장,00689418,111820,2017~2018.3분기,2020-10-14,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
154,㈜이엠앤아이,코스닥시장,00475718,083470,2017~2018.3분기,2020-10-14,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
155,㈜미래SCI,코스닥시장,00111865,028040,"2015, 2016",2020-10-14,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
