회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
대한제분(주),001130,2019/12,2019/12,한영회계법인,2019/12,69,한영회계법인,,200000,10,3043,"분ㆍ반기 재무제표 검토, 별도 및 연결재무제표 감사, 내부회계관리제도 검토",,,,,,,
대한중석,000160,1998/12,,,,,,,,,,,,,,,,,
대한해운(주),005880,2019/12,2019/12,한울회계법인,2019/12,53,한울회계법인,,290000,10,4048,"1분기,반기,3분기 연결&별도 재무제표 검토, 기말감사(중간감사 포함), 기말 연결재무제표 감사",,,,,,,
대한화섬(주),003830,2019/12,2019/12,삼일회계법인,2019/12,57,삼일회계법인,,180000,10,1959,"분ㆍ반기 재무제표 검토, 별도 재무제표감사 내부회계관리제도 검토",,,,,,,
덕양산업(주),024900,2019/12,2019/12,삼정회계법인,2019/12,43,삼정회계법인,,175000,10,2233,"반기재무제표 검토, 개별 및 연결재무제표 감사",,,,,,,
도레이케미칼(주),008000,2017/03,,,,,,,,,,,,,,,,,
동국무역(주),004420,2001/12,,,,,,,,,,,,,,,,,
동국방직,011180,1998/12,,,,,,,,,,,,,,,,,
동국전자,012220,1998/12,,,,,,,,,,,,,,,,,
동국제강(주),001230,2019/12,2019/12,삼일회계법인,2019/12,66,삼일회계법인,,1150000,10,10946,"분,반기,연간/연결재무제표 검토 등에 대한 감사",2019/12,66,부가세 별도,세무 자문 용역(세무조정) BEPS 용역,`19.04.30~`20.03.31`19.07.22~`19.12.31,3035,20190430
동국중기공업(주),028410,1985/12,,,,,,,,,,,,,,,,,
동방개발,012150,1995/12,,,,,,,,,,,,,,,,,
동부건설(주),005960,2019/12,2019/12,대주회계법인,2019/12,51,대주회계법인,,180000,10,2353,분·반기/별도/연결재무재표,,,,,,,
동부산업,003970,1995/12,,,,,,,,,,,,,,,,,
동부일렉트로닉스(주),001830,2006/12,,,,,,,,,,,,,,,,,
동부화학,008950,1996/12,,,,,,,,,,,,,,,,,
동성반도체,016070,1994/12,,,,,,,,,,,,,,,,,
동성제약(주),002210,2019/12,2019/12,상록회계법인,2019/12,63,상록회계법인,,130000,10,971,"분기,반기,연간감사",,,,,,,
동신제약(주),006600,2005/12,,,,,,,,,,,,,,,,,
동신제지,016430,1995/06,,,,,,,,,,,,,,,,,
동아건설산업(주),000280,2000/12,,,,,,,,,,,,,,,,,
동아쏘시오홀딩스(주),000640,2019/12,2019/12,삼일회계법인,2019/12,72,삼일회계법인,,180000,10,2318,"기말(별도 및 연결)감사보수 (분기, 반기검토보수 포함)",,,,,,,
동아에스티(주),170900,2019/12,2019/12,삼일회계법인,2019/12,7,삼일회계법인,"별도: 2,173 연결 : 591",250000,10,2764,"7기 감사 및 검토보수(분기검토 및 기말(별도,연결)감사보수 포함)-연간계약",,,,,,,
동아콘크리트공업(주),029230,1985/12,,,,,,,,,,,,,,,,,
동아타이어공업(주),282690,2019/12,2019/12,대영회계법인,2019/12,3,대영회계법인,,75000,10,937,"제3기 반기검토, 연결 및 별도 회계감사, 내부회계검토",,,,,,,
동양물산기업(주),002900,2019/12,2019/12,삼일회계법인,2019/12,60,삼일회계법인,,455000,10,4228,내부회계관리제도 검토 결산감사(연결포함) 중간감사 반기검토(연결포함),,,,,,,
동양정밀공업(주),001100,1993/12,,,,,,,,,,,,,,,,,
동양철관(주),008970,2019/12,2019/12,삼정회계법인,2019/12,48,삼정회계법인,,108000,10,1613,"반기재무제표에 대한 검토,중간감사,기말감사",,,,,,,
동양피스톤(주),092780,2019/12,2019/12,신한회계법인,2019/12,43,신한회계법인,,95000,10,894,"반기,별도,연결 재무제표에 대한 감사",,,,,,,
동양화학공업(주),002740,2000/12,,,,,,,,,,,,,,,,,
동원금속(주),018500,2019/03,2019/03,한영회계법인,2019/03,34,한영회계법인,,250000,10,2354,"반기재무제표 검토, 개별 및 연결 재무제표에 대한 감사",,,,,,,
동원산업(주),006040,2019/12,2019/12,삼정회계법인,2019/12,51,삼정회계법인,,300000,10,3723,별도 및 연결재무제표,2019/12,51,"용역수행기간은 '계약체결일~경정청구일'이며, 환급결정일은 2019.07.02입니다.",경정청구,2017.12.29~2019.05.17(*),250300,20171229
동원수산(주),030720,2019/12,2019/12,안진회계법인,2019/12,50,안진회계법인,,86000,10,1067,반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
동원시스템즈(주),014820,2019/12,2019/12,한영회계법인,2019/12,40,한영회계법인,,262000,10,3146,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
동일고무벨트(주),163560,2019/12,2019/12,안경회계법인,2019/12,8,안경회계법인,,100000,10,1650,"별도재무제표 및 연결재무제표에 대한 감사, 반기재무제표검토",2019/12,8,안경회계법인,세무자문업무,2020.01.01~2020.03.31,8000,
동일산업(주),004890,2019/12,2019/12,안경회계법인,2019/12,54,안경회계법인,,70000,10,1129,"반기,개별 및 연결 재무제표, 내부회계관리제도 검토(감사)",2019/12,54,,법인세 세무조정 및 세무자문용역,19.4.1~20.3.31,17500,20190410
동일제강(주),002690,2019/12,2019/12,광교회계법인,2019/12,60,광교회계법인,,45000,10,732,"반기 재무제표 검토, 개별 재무제표에 대한 감사, 내부회계관리제도 검토",,,,,,,
동화약품(주),000020,2019/12,2019/12,삼정회계법인,2019/12,91,삼정회계법인,"반기검토 359시간, 중간감사 302시간, 기말감사 1,327시간",130000,10,1988,반기검토(2019.07.29 ~2019.07.29) 중간감사(2019.11.25 ~ 2019.11.29) 기말감사(2020.03.03 ~2020.03.07),2019/12,91,,세무조정,2019.04.01~2020.03.31,6000,20190401
두산건설(주),002950,2003/12,,,,,,,,,,,,,,,,,
두산건설(주),011160,2019/12,2019/12,삼정회계법인,2019/12,44,삼정회계법인,,890000,10,10375,"개별,연결,영문재무제표",2019/12,44,,세무조정검토 업무,2019.04.01~2020.03.31,36000,20190430
두산기계,005040,1997/12,,,,,,,,,,,,,,,,,
두산밥캣(주),241560,2019/12,2019/12,삼일회계법인,2019/12,6,삼일회계법인,,550000,10,4054,"별도, 연결, 반기검토 및 내부회계",,,,,,,
두산백화,000330,1997/12,,,,,,,,,,,,,,,,,
두산상사,000090,1997/12,,,,,,,,,,,,,,,,,
두산솔루스(주),336370,2019/12,2019/12,한영회계법인,2019/12,1,한영회계법인,,110000,10,993,별도 및 연결 재무제표에 대한 감사 내부회계관리제도 검토,,,,,,,
두산음료,004600,1996/12,,,,,,,,,,,,,,,,,
두산인프라코어(주),042670,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,880000,10,8985,"분·반기연결재무제표검토,   분·반기재무제표검토  , 연결재무제표감사(영문포함),   재무제표감사(영문포함),   K-IFRS에 의한 감사",,,,,,,
두산종합식품,001610,1995/12,,,,,,,,,,,,,,,,,
두산중공업(주),034020,2019/12,2019/12,삼정회계법인,2019/12,57,삼정회계법인,,1370000,10,22851,1분기 검토 반기 검토 3분기 검토 전산감사 중간감사/내부통제 기말감사,2019/12,57,,국고보조금에 의한 이월결손금 보전 관련 세무자문,2019.11~2019.12,500000,20191030
두산테크팩(주),001690,2000/12,,,,,,,,,,,,,,,,,
두산퓨얼셀(주),336260,2019/12,2019/12,한영회계법인,2019/12,1,한영회계법인,,85000,10,881,결산감사,,,,,,,
디씨엠(주),024090,2019/12,2019/12,선일회계법인,2019/12,33,선일회계법인,,53000,10,926,"별도 및 연결반기검토, 중간감사, 재고실사, 별도재무제표 감사",,,,,,,
디아이동일(주),001530,2019/12,2019/12,신한회계법인,2019/12,77,신한회계법인,,125000,10,1912,"분,반기재무제표, 개별재무제표 연결재무제표에 대한 감사 내부회계관리제도 검토",,,,,,,
디에스알(주),155660,2019/12,2019/12,삼일회계법인,2019/12,56,삼일회계법인,,75000,10,855,"개별 및 연결 반기검토, 중간감사, 재고실사, 기말감사, 내부회계관리제도 검토",,,,,,,
디에스알제강(주),069730,2019/12,2019/12,안경회계법인,2019/12,49,안경회계법인,,58000,10,890,"반기검토, 중간감사, 재고실사, 기말감사, 내부회계관리제도 검토",,,,,,,
디와이(주),013570,2019/12,2019/12,삼일회계법인,2019/12,42,삼일회계법인,,190000,10,2344,"별도재무제표 감사, 연결재무제표 감사, 반기재무제표 검토",,,,,,,
디와이파워(주),210540,2019/12,2019/12,안진회계법인,2019/12,6,안진회계법인,,180000,10,2435,연결/별도 재무제표 감사 연결/별도 반기 재무제표 검토,,,,,,,
디피씨(주),026890,2019/12,2019/12,삼일회계법인,2019/12,38,삼일회계법인,,145000,10,1379,- 별도/연결 반기 재무제표 검토 - 별도/연결 재무제표감사,,,,,,,
라미화장품(주),010330,2002/12,,,,,,,,,,,,,,,,,
라이프주택개발,010530,1997/12,,,,,,,,,,,,,,,,,
럭키소재(주),029270,1990/12,,,,,,,,,,,,,,,,,
롯데관광개발(주),032350,2019/12,2019/12,삼덕회계법인,2019/12,49,삼덕회계법인,,110000,10,1393,"분, 반기 재무제표 검토   (연결, 별도), 재무제표 감사 (연결, 별도)",,,,,,,
롯데쇼핑(주),023530,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1750000,10,20581,분기재무제표ㆍ반기재무제표 검토 별도재무제표ㆍ연결재무제표 감사,2019/12,50,,Toys 'R' Us 로열티에 대한 협의된 절차,2019.06.20~2019.07.05,12000,20190620
롯데쇼핑(주),023530,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1750000,10,20581,분기재무제표ㆍ반기재무제표 검토 별도재무제표ㆍ연결재무제표 감사,2019/12,50,,롯데위탁관리부동산투자회사 상장관련  Comfort Letter 발행,2019.06.21~2019.10.15,229000,20190621
롯데쇼핑(주),023530,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1750000,10,20581,분기재무제표ㆍ반기재무제표 검토 별도재무제표ㆍ연결재무제표 감사,2019/12,50,,2019 롯데쇼핑 세무조정,2019.04.01~2020.03.31,25000,20190401
롯데쇼핑(주),023530,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1750000,10,20581,분기재무제표ㆍ반기재무제표 검토 별도재무제표ㆍ연결재무제표 감사,2019/12,50,,롯데쇼핑 국세청 사전답변해석 신청 지원업무,2019.10.01~2019.12.31,70000,20191001
롯데쇼핑(주),023530,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1750000,10,20581,분기재무제표ㆍ반기재무제표 검토 별도재무제표ㆍ연결재무제표 감사,2019/12,50,,롯데그룹 비금융계열사 부채비율에 대한  합의된 절차,2019.08.01~2019.09.30,18000,20190805
롯데정밀화학(주),004000,2019/12,2019/12,한영회계법인,2019/12,56,한영회계법인,,301000,10,3330,"국문 및 영문 감사(분,반기/년말 별도 및 연결재무제표검토)",,,,,,,
롯데정보통신(주),286940,2019/12,2019/12,안진회계법인,2019/12,3,안진회계법인,,365000,10,4545,분/반기 재무제표 검토 분/반기 연결재무제표 검토 연간 재무제표 감사 연간 연결재무제표 감사,2019/12,3,,세무자문용역,2019.09~2019.10,10000,20190900
롯데제과(주),280360,2019/12,2019/12,삼일회계법인,2019/12,3,삼일회계법인,,600000,10,5899,"별도 및 연결 분ㆍ반기 재무제표 검토, 별도 및 연결 재무제표 감사 내부회계관리제도 감사",,,,,,,
롯데지주(주),004990,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,940000,10,9417,"연간재무제표 검토 및 별도재무제표, 연결재무제표, 내부회계관리제도에 대한 감사",2019/12,53,Time Charge,세무자문업무,2019.06.01 ~ 2020.05.31,0,20190601
롯데지주(주),004990,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,940000,10,9417,"연간재무제표 검토 및 별도재무제표, 연결재무제표, 내부회계관리제도에 대한 감사",2019/12,53,,세무조정자문업무,2019.04.01 ~ 2020.03.31,25000,20190401
롯데칠성음료(주),005300,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,760000,10,7525,분ㆍ반기 재무제표 검토/별도 및 연결 재무제표에 대한 감사,2019/12,53,,세무자문 용역,2019.10~2019.12,40000,20191000
롯데칠성음료(주),005300,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,760000,10,7525,분ㆍ반기 재무제표 검토/별도 및 연결 재무제표에 대한 감사,2019/12,53,,세무자문 용역,2019.01~2019.06,400000,20190100
롯데칠성음료(주),005300,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,760000,10,7525,분ㆍ반기 재무제표 검토/별도 및 연결 재무제표에 대한 감사,2019/12,53,,세무자문 용역,2019.08~2019.12,493000,20190800
롯데칠성음료(주),005300,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,760000,10,7525,분ㆍ반기 재무제표 검토/별도 및 연결 재무제표에 대한 감사,2019/12,53,,2019년 세무조정 검토,2019.07~2020.03,18000,20190700
롯데칠성음료(주),005300,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,760000,10,7525,분ㆍ반기 재무제표 검토/별도 및 연결 재무제표에 대한 감사,2019/12,53,,사채수탁이행계약 점검을 위한 합의된 절차 수행,2019.04,3000,20190400
롯데케미칼(주),011170,2019/12,2019/12,한영회계법인,2019/12,44,한영회계법인,,1190000,10,13658,회계감사 및 분/반기 검토,2019/12,44,,영문감사보고서    (감사용역계약에 포함),,0,
롯데푸드(주),002270,2019/12,2019/12,삼일회계법인,2019/12,60,삼일회계법인,,250000,10,2422,"분,반기 재무제표 검토 및 기말 재무제표 감사",2019/12,60,,세무조정,2019.04~2020.03,15000,20190000
롯데하이마트(주),071840,2019/12,2019/12,삼정회계법인,2019/12,33,삼정회계법인,,565000,10,6236,- 분반기 검토 - 개별재무제표감사 - 기타 감사업무,,,,,,,
마이크로닉스(주),001190,2007/12,,,,,,,,,,,,,,,,,
만도기계,005790,1998/12,,,,,,,,,,,,,,,,,
만호제강(주),001080,2019/06,2019/06,신한회계법인,2019/06,67,신한회계법인,,58000,10,974,"개별 및 연결 반기검토, 중간감사, 기말감사, 내부회계관리제도 검토",,,,,,,
맥슨텔레콤(주),009890,2004/12,,,,,,,,,,,,,,,,,
명문제약(주),017180,2019/12,2019/12,도원회계법인,2019/12,34,도원회계법인,,75000,10,1011,"별도, 연결재무제표 감사 중간감사 및 내부회계 관리제도 검토",,,,,,,
무림페이퍼(주),009200,2019/12,2019/12,삼일회계법인,2019/12,47,삼일회계법인,,200000,10,2062,"별도회계감사,연결회계감사, 내부회계관리제도 검토 등",,,,,,,
무림피앤피(주),009580,2019/12,2019/12,삼일회계법인,2019/12,46,삼일회계법인,,195000,10,1907,"별도회계감사, 연결회계감사 내부회계관리제도 검토 등",,,,,,,
문배철강(주),008420,2019/12,2019/12,한영회계법인,2019/12,47,한영회계법인,,85000,10,1100,"반기검토,중간감사,결산감사",,,,,,,
미래산업(주),025560,2019/12,2019/12,삼화회계법인,2019/12,29,삼화회계법인,,80000,10,892,"IFRS반기개별·연결재무제표 검토, IFRS개별·연결재무제표 감사",2019/12,29,,2019년도 세무조정 및 세무조정계산서,법인세신고를위한세무조정기간,6000,20190401
미성건설(주),028400,1982/12,,,,,,,,,,,,,,,,,
미우,009990,1994/12,,,,,,,,,,,,,,,,,
미원,002440,1996/12,,,,,,,,,,,,,,,,,
미원상사(주),002840,2019/12,2019/12,다산회계법인,2019/12,61,다산회계법인,,45000,10,1154,반기 연결.별도재무제표 검토 기말 연결.별도재무제표 감사,,,,,,,
미원스페셜티케미칼(주),268280,2019/12,2019/12,대주회계법인,2019/12,3,대주회계법인,,45000,10,1046,"반기재무제표 검토, 개별재무제표 감사, 내부회계관리제 도 검토",,,,,,,
미원홀딩스(주),107590,2019/12,2019/12,대주회계법인,2019/12,11,대주회계법인,,40000,10,744,"반기 연결, 별도재무제표 검토, 기말 연결, 개별재무제표 감사, 내부회계관리제도 검토",,,,,,,
미원화학(주),134380,2019/12,2019/12,삼정회계법인,2019/12,9,삼정회계법인,,45000,10,1184,"반기재무제표 검토, 개별재무제표 감사, 내부회계관리제도 검토",,,,,,,
미창석유공업(주),003650,2019/12,2019/12,한울회계법인,2019/12,55,한울회계법인,,85000,10,1758,"내부회계관리제도검토 반기,결산재무제표감사",,,,,,,
반도목재(주),029250,1986/09,,,,,,,,,,,,,,,,,
반도스포츠(주),028480,1991/12,,,,,,,,,,,,,,,,,
백광산업(주),001340,2019/12,2019/12,인덕회계법인,2019/12,66,인덕회계법인,,72000,10,916,재무제표에 대한 감사,2019/12,66,,세무조정,2020.02.01-03.31,7000,20191200
백산전자(주),028600,1993/12,,,,,,,,,,,,,,,,,
범양건영(주),002410,2019/12,2019/12,한울회계법인,2019/12,62,한울회계법인,,85000,10,902,외부 회계감사 용역 계약,2019/12,62,한울회계법인,세무조정,2020.03.01~  2020.03.31,5000,20190200
범양식품(주),008750,2002/12,,,,,,,,,,,,,,,,,
벽산개발(주),002080,1999/12,,,,,,,,,,,,,,,,,
벽산건설(주),002530,2012/12,,,,,,,,,,,,,,,,,
보령제약(주),003850,2019/12,2019/12,삼일회계법인,2019/12,56,삼일회계법인,,165000,10,1940,외부회계감사,2019/12,56,,법인세 세무조정,2019.07.22 ~ 2020.03.31,12000,20190722
보령제약(주),003850,2019/12,2019/12,삼일회계법인,2019/12,56,삼일회계법인,,165000,10,1940,외부회계감사,2019/12,56,용역보수료는 별도의 미확정된 성공보수료가 포함되어 있습니다.,세무자문용역,2019.12.19 ~,5000,20191219
보해양조(주),000890,2019/12,2019/12,선일회계법인,2019/12,68,선일회계법인,,63000,10,1314,반기재무제표 검토 별도 재무제표에 대한 회계감사 연결 재무제표에 대한 회계감사,2019/12,68,,세무자문,2019.05.31-06.21,12000,20190531
부광약품(주),003000,2019/12,2019/12,삼일회계법인,2019/12,60,삼일회계법인,,180000,10,1961,"연결재무제표 및 별도재무제표에 대한 결산,분반기,중간감사,재고실사,내부회계관리제도 검토에 관한 사항",2019/12,60,,혁신형제약기업 연차보고서  제출관련 합의된절차 수행,2019.09.10~2019.9.20,2000,20190910
부광약품(주),003000,2019/12,2019/12,삼일회계법인,2019/12,60,삼일회계법인,,180000,10,1961,"연결재무제표 및 별도재무제표에 대한 결산,분반기,중간감사,재고실사,내부회계관리제도 검토에 관한 사항",2019/12,60,,세무자문,2019.08.05~2020.7.31,16000,20190805
부국제강(주),029170,1985/03,,,,,,,,,,,,,,,,,
부국철강(주),026940,2019/12,2019/12,삼정회계법인,2019/12,44,삼정회계법인,,53000,10,983,반기 재무제표에 대한 검토 및 결산 재무제표에 대한 감사등,,,,,,,
부산산업(주),011390,2019/12,2019/12,신우회계법인,2019/12,44,신우회계법인,,80000,10,734,분ㆍ반기 재무제표 검토 별도 및 연결재무제표 감사,,,,,,,
부산주공(주),005030,2019/12,2019/12,안진회계법인,2019/12,53,안진회계법인,,168240,10,3355,"반기검토, 중간감사, 결산감사",,,,,,,
비케이탑스(주),030790,2019/12,2019/12,신승회계법인,2019/12,29,신승회계법인,,140000,10,1342,- 반기재무제표 검토 - 별도/연결재무제표 감사,2019/12,29,,세무조정업무 수임계약,2019.01.01~2019.12.31,10000,20190219
사조동아원(주),008040,2019/12,2019/12,서우회계법인,2019/12,49,서우회계법인,,125000,10,1408,별도재무제표ㆍ연결재무제표 감사 반기재무제표 검토 내부회계관리제도검토,2019/12,49,,세무용역,2019년12월5일~2019년12월31,30000,20191205
사조산업(주),007160,2019/12,2019/12,우리회계법인,2019/12,49,우리회계법인,,130000,10,2146,"분반기검토, 중간, 기말 회계감사",,,,,,,
사조씨푸드(주),014710,2019/12,2019/12,우리회계법인,2019/12,40,우리회계법인,,95000,10,1374,개별 재무제표 감사 외,,,,,,,
삼광글라스(주),005090,2019/12,2019/12,성도이현회계법인,2019/12,53,성도이현회계법인,,180000,10,1950,외감법에 대한 회계감사,,,,,,,
삼도물산(주),002930,2003/12,,,,,,,,,,,,,,,,,
삼미광업개발(주),029190,1984/12,,,,,,,,,,,,,,,,,
삼부토건(주),001470,2019/12,2019/12,대현회계법인,2019/12,66,대현회계법인,,130000,10,1726,- 반기 검토 - 개별재무제표감사 - 연결재무제표감사 - 영문재무제표 검토 및 기타 감사업무,,,,,,,
삼성SDI(주),006400,2019/12,2019/12,삼정회계법인,2019/12,50,삼정회계법인,,1170000,10,13501,분ㆍ반기검토(연결 및 별도재무제표) 별도 및 연결 재무제표 감사 내부회계관리제도 감사 중간감사(전산감사) 영문보고서 검토 및 감사,,,,,,,
삼성건설,002010,1994/12,,,,,,,,,,,,,,,,,
삼성공조(주),006660,2019/12,2019/12,안경회계법인,2019/12,50,안경회계법인,,50000,10,868,별도반기검토 : 2019.07.24~07.26 연결반기검토 :2019.08.05~08.07 별도중간감사 : 2019.11.25~11.27 기말재고실사 : 2020.01.02 기말별도감사 : 2020.02.04~02.07 기말연결감사:2020.02.19~02.22,,,,,,,
삼성디지털이미징(주),108070,2009/12,,,,,,,,,,,,,,,,,
삼성물산(주),000830,2014/12,,,,,,,,,,,,,,,,,
삼성물산(주),028260,2019/12,2019/12,삼일회계법인,2019/12,56,삼일회계법인,,2820000,10,30003,분/반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
삼성바이오로직스(주),207940,2019/12,2019/12,삼일회계법인,2019/12,9,삼일회계법인,,1540000,10,11364,분ㆍ반기 재무제표 검토 연간 재무제표 감사 내부회계관리제도에 대한 감사,,,,,,,
삼성반도체통신(주),028420,1987/12,,,,,,,,,,,,,,,,,
삼성신약(주),003400,1993/12,,,,,,,,,,,,,,,,,
삼성에스디에스(주),018260,2019/12,2019/12,안진회계법인,2019/12,35,안진회계법인,,1143000,10,16118,별도/연결 분/반기 재무제표 검토 및 별도/연결 재무제표에 대한 감사,2019/12,35,,국제거래정보 통합보고서 작성,2019.09~2019.12,66000,20190900
삼성에스디에스(주),018260,2019/12,2019/12,안진회계법인,2019/12,35,안진회계법인,,1143000,10,16118,별도/연결 분/반기 재무제표 검토 및 별도/연결 재무제표에 대한 감사,2019/12,35,,세무조정 업무,2019.07~2020.03,44000,20190700
삼성엔지니어링(주),028050,2019/12,2019/12,삼일회계법인,2019/12,53,삼일회계법인,,980000,10,9311,"개별,연결,영문감사",2019/12,53,삼일회계법인,세무자문용역,`19.04.02~`20.03.31,34000,20190402
삼성전기(주),009150,2019/12,2019/12,한영회계법인,2019/12,47,한영회계법인,,1184000,10,12877,"분/반기 재무제표 검토(연결, 별도) 내부회계관리제도 감사(설계/운영평가) 영문 재무제표, 내부회계관리제도 검토",2019/12,47,,세무조정,`19.01.02~`19.03.31,15000,20190102
삼성전자(주),005930,2019/12,2019/12,삼일회계법인,2019/12,51,삼일회계법인,"법령에 외부감사 실시내용   상의 투입시간 67,639시간에, 기타 업무 1,382시간을 합산한 시간입니다.",6481000,10,69021,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사 내부회계관리제도 감사,2019/12,51,,관세 등 관련 자문업무,2019.10~2019.12,127000,20191000
삼성전자(주),005930,2019/12,2019/12,삼일회계법인,2019/12,51,삼일회계법인,"법령에 외부감사 실시내용   상의 투입시간 67,639시간에, 기타 업무 1,382시간을 합산한 시간입니다.",6481000,10,69021,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사 내부회계관리제도 감사,2019/12,51,,SOC2 인증 등 관련 자문업무,2019.02~2019.09,258000,20190200
삼성제약(주),001360,2019/12,2019/12,정일회계법인,2019/12,66,정일회계법인,,55000,10,646,제66기 재무제표에 대한 감사 및 검토,,,,,,,
삼성중공업(주),010140,2019/12,2019/12,삼일회계법인,2019/12,46,삼일회계법인,,1400000,10,13312,회계감사용역계약,2019/12,46,,지속가능경영보고서 자문용역,19.01~19.05,70000,20190100
삼성중공업(주),010140,2019/12,2019/12,삼일회계법인,2019/12,46,삼일회계법인,,1400000,10,13312,회계감사용역계약,2019/12,46,,세무조정용역,19.04~20.03,50000,20190700
삼신,011540,1995/12,,,,,,,,,,,,,,,,,
삼아알미늄(주),006110,2019/12,2019/12,안진회계법인,2019/12,51,딜로이트안진회계법인,,113000,10,1513,회계감사,,,,,,,
삼양식품(주),003230,2019/12,2019/12,삼일회계법인,2019/12,59,삼일회계법인,,140000,10,1478,"반기, 중간, 기말, 연결 재무제표 검토 및 감사",,,,,,,
삼양타이어(주),029180,1983/12,,,,,,,,,,,,,,,,,
삼양통상(주),002170,2019/12,2019/12,삼덕회계법인,2019/12,59,삼덕회계법인,,60000,10,1143,"반기검토,중간감사,재고실사,기말감사,연결감사",,,,,,,
삼영무역(주),002810,2019/12,2019/12,신한회계법인,2019/12,61,신한회계법인,,83000,10,1114,별도 및 연결재무제표에 대한 감사,,,,,,,
삼영전자공업(주),005680,2019/12,2019/12,삼화회계법인,2019/12,52,삼화회계법인,,63000,10,1170,분반기 검토 개별ㆍ연결재무제표감사,,,,,,,
삼영화학공업(주),003720,2019/12,2019/12,삼덕회계법인,2019/12,57,삼덕회계법인,,85000,10,886,회계감사 및 검토,,,,,,,
삼익건설(주),002180,2001/12,,,,,,,,,,,,,,,,,
삼익티에이치케이(주),004380,2019/12,2019/12,하나로회계법인,2019/12,55,회계법인 하나로,,99000,10,838,재무제표 감사 및 반기검토 통제의 설계 및 운영의 효과성 평가 입증절차의 수행 및 내부회계관리제도 검토,2019/12,55,,세무조정,2019.05-2020.04,8800,20190304
삼일제약(주),000520,2019/12,2019/12,한영회계법인,2019/12,67,한영회계법인,,98000,10,1131,반기검토 및 기말감사,,,,,,,
삼정펄프(주),009770,2019/12,2019/12,삼덕회계법인,2019/12,46,삼덕회계법인,,42000,10,922,연간 재무제표 감사,2019/12,46,,세무조정,4일,5000,20190400
삼진제약(주),005500,2019/12,2019/12,대주회계법인,2019/12,52,대주회계법인,,90000,10,842,"분,반기 검토 결산 감사",,,,,,,
삼진화학,003500,1997/12,,,,,,,,,,,,,,,,,
삼호개발(주),010960,2019/12,2019/12,대주회계법인,2019/12,44,대주회계법인,,68000,10,1262,반기재무제표 검토 별도재무제표 감사(재고실사 포함) 연결재무제표 감사,,,,,,,
삼화왕관(주),004450,2019/12,2019/12,한영회계법인,2019/12,54,한영회계법인,,133000,10,1353,"분기검토, 반기검토 3분기 감사, 중간감사 재고실사, 기말감사, 연결감사",2019/12,54,,플라스틱 캡 로열티 감사,2일,2600,20200302
삼화전기(주),009470,2019/12,2019/12,삼덕회계법인,2019/12,47,삼덕회계법인,,100000,10,1381,"별도 및 연결재무제표 감사,반기 재무제표 검토 및 내부회계관리제도 검토",,,,,,,
삼화전자공업(주),011230,2019/12,2019/12,다산회계법인,2019/12,44,다산회계법인,,85000,10,1049,재무제표 감사 및 전반적 실사 연결재무제표 감사,2019/12,44,,2019년 세무조정 계약체결,2019.01.01.-2019.12.31.,7000,20190820
삼화콘덴서공업(주),001820,2019/12,2019/12,다산회계법인,2019/12,64,다산회계법인,,150000,10,1123,외부회계감사,,,,,,,
삼화페인트공업(주),000390,2019/12,2019/12,삼정회계법인,2019/12,73,삼정회계법인,,190000,10,3657,분ㆍ반기 연결재무제표/재무제표 검토 연결재무제표/재무제표 감사,,,,,,,
삼환기업(주),000360,2014/12,,,,,,,,,,,,,,,,,
상신브레이크(주),041650,2019/12,2019/12,삼정회계법인,2019/12,45,삼정회계법인,,130000,10,1802,반기 재무제표에 대한 검토 및 개별 및 연결재무제표에 대한 감사 등,,,,,,,
새론오토모티브(주),075180,2019/12,2019/12,삼일회계법인,2019/12,21,삼일회계법인,,121000,10,1355,- 분반기 검토 - 개별재무제표감사 - 연결재무제표감사 - 내부회계감사,2019/12,21,,세무조정업무,19.01.01-19.12.31,20000,20190211
샘표(주),007540,2019/12,2019/12,대성삼경회계법인,2019/12,49,대성삼경회계법인,,33000,10,507,외감법에 의한 외부감사,,,,,,,
