회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,재무자문용역,2019.08,2200,20190800
(주)대우건설,047040,2019/12,2019/12,삼일회계법인,2019/12,20,삼일회계법인,,1770000,10,16555,별도재무제표 감사 연결재무제표 감사,2019/12,20,,세무자문용역,2019.09,15000,20190900
(주)대웅,003090,2019/12,2019/12,한영회계법인,2019/12,60,한영회계법인,,102000,10,1502,개별/연결 재무제표감사,2019/12,60,,세무조정,19.7.16~20.3.31,15000,20190716
(주)대웅제약,069620,2019/12,2019/12,한영회계법인,2019/12,18,한영회계법인,,229500,10,3306,"개별, 연결재무제표 감사",2019/12,18,,세무조정,2019.07.16~2020.03.31,32500,20190716
(주)대유에이텍,002880,2019/12,2019/12,서현회계법인,2019/12,65,서현회계법인,,225000,10,1655,IFRS 반기개별 및 연결검토 IFRS 연간개별 및 연결감사 내부회계관리제도 검토,2019/12,65,,법인세무조정 용역계약 체결,,18700,20190331
(주)대유에이텍,002880,2019/12,2019/12,서현회계법인,2019/12,65,서현회계법인,,225000,10,1655,IFRS 반기개별 및 연결검토 IFRS 연간개별 및 연결감사 내부회계관리제도 검토,2019/12,65,,정기세무조사 자문용역계약 체결,10주간,55000,20190722
(주)대유플러스,000300,2019/12,2019/12,대주회계법인,2019/12,54,대주회계법인,,97000,10,1313,"반기,중간,기말,연결감사",,,,,,,
(주)대창,012800,2019/12,2019/12,대성삼경회계법인,2019/12,43,대성삼경회계법인,,88000,10,1110,"분기검토, 반기검토, 중간감사, 재고감사, 연결감사, 기말감사",,,,,,,
(주)대한은박지,007480,2012/09,,,,,,,,,,,,,,,,,
(주)대한항공,003490,2019/12,2019/12,삼일회계법인,2019/12,58,삼일회계법인,,1650000,10,17743,분기재무제표에 대한 검토 반기재무제표에 대한 검토 별도재무제표에 대한 감사 연결재무제표에 대한 감사 내부회계관리제도 감사,2019/12,58,,세무조정 검토 등,2019.07.04~2020.04.30,20000,20190704
(주)대한항공,003490,2019/12,2019/12,삼일회계법인,2019/12,58,삼일회계법인,,1650000,10,17743,분기재무제표에 대한 검토 반기재무제표에 대한 검토 별도재무제표에 대한 감사 연결재무제표에 대한 감사 내부회계관리제도 감사,2019/12,58,,감사인 확인서 등,2019.06.03~2020.05.30,7000,20190603
(주)대현,016090,2019/12,2019/12,안진회계법인,2019/12,38,안진회계법인,,98000,10,1263,1. 반기재무제표 검토 - 검토기간 : 2019.07.23~07.26 2. 중간기간 재무제표 검토 - 검토기간 : 2019.10.28~11.06 3. 개별재무제표 감사 - 감사기간 : 2020.02.10~02.14,2019/12,38,,세무 대응 용역,2019.07.30.~10.09,105000,20190730
(주)대현,016090,2019/12,2019/12,안진회계법인,2019/12,38,안진회계법인,,98000,10,1263,1. 반기재무제표 검토 - 검토기간 : 2019.07.23~07.26 2. 중간기간 재무제표 검토 - 검토기간 : 2019.10.28~11.06 3. 개별재무제표 감사 - 감사기간 : 2020.02.10~02.14,2019/12,38,,2019 사업연도 법인세 세무조정,2020.01.01.~03.31.,11000,20191220
(주)대호,001980,2003/12,,,,,,,,,,,,,,,,,
(주)대호에이엘,069460,2019/12,2019/12,한영회계법인,2019/12,18,한영회계법인,"(VAT별도) 개별반기검토 :500시간, 개별재무제표감사 : 1,047시간",220000,10,1566,개별반기재무제표 검토 개별재무제표에 대한 감사,,,,,,,
(주)더블유게임즈,192080,2019/12,2019/12,한영회계법인,2019/12,8,한영회계법인,,120000,10,924,K-IFRS 연결 및 별도 감사 및 검토,,,,,,,
(주)더존비즈온,012510,2019/12,2019/12,서현회계법인,2019/12,43,서현회계법인,,120000,10,1805,회계감사,,,,,,,
(주)덕성,004830,2019/12,2019/12,삼덕회계법인,2019/12,54,삼덕회계법인,,85000,10,983,"반기재무제표검토,기말감사,연결감사",,,,,,,
(주)덴티움,145720,2019/12,2019/12,삼덕회계법인,2019/12,20,삼덕회계법인,,120000,10,4850,별도재무제표 및 연결재무제표 감사,,,,,,,
(주)도화엔지니어링,002150,2019/12,2019/12,대주회계법인,2019/12,58,대주회계법인,,138000,10,1260,"분ㆍ반기검토, 감사",2019/12,58,(부가세제외),수출업체에 대한 사업수행능력 평가,2019.08~2019.09,12000,20190800
